,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
140,190,20,1.2,94,0.6,228,Winter,No Holiday,Yes,12,6,2017
141,165,21,1.1,92,0.5,235,Winter,No Holiday,Yes,12,6,2017
142,222,22,1.3,92,0.6,233,Winter,No Holiday,Yes,12,6,2017
143,193,23,1.3,92,0.6,209,Winter,No Holiday,Yes,12,6,2017
144,198,0,1.4,92,0.5,240,Winter,No Holiday,Yes,12,7,2017
145,218,1,1.5,92,0.4,227,Winter,No Holiday,Yes,12,7,2017
146,149,2,1.4,92,0.7,168,Winter,No Holiday,Yes,12,7,2017
147,102,3,1.9,91,1.4,218,Winter,No Holiday,Yes,12,7,2017
148,62,4,1.6,92,0.7,119,Winter,No Holiday,Yes,12,7,2017
149,83,5,1.5,92,1.1,175,Winter,No Holiday,Yes,12,7,2017
150,137,6,1.0,93,0.5,148,Winter,No Holiday,Yes,12,7,2017
151,367,7,0.3,93,0.5,173,Winter,No Holiday,Yes,12,7,2017
152,754,8,-0.2,96,0.8,173,Winter,No Holiday,Yes,12,7,2017
153,415,9,0.1,91,0.8,265,Winter,No Holiday,Yes,12,7,2017
154,321,10,1.1,83,0.7,311,Winter,No Holiday,Yes,12,7,2017
155,333,11,2.3,69,1.7,628,Winter,No Holiday,Yes,12,7,2017
156,431,12,3.7,65,2.4,833,Winter,No Holiday,Yes,12,7,2017
157,394,13,4.1,37,3.1,1767,Winter,No Holiday,Yes,12,7,2017
158,390,14,4.4,36,2.7,1975,Winter,No Holiday,Yes,12,7,2017
159,430,15,4.0,35,3.1,1962,Winter,No Holiday,Yes,12,7,2017
160,471,16,3.2,38,2.9,1817,Winter,No Holiday,Yes,12,7,2017
161,552,17,2.1,50,2.0,1434,Winter,No Holiday,Yes,12,7,2017
162,795,18,0.7,46,2.7,1558,Winter,No Holiday,Yes,12,7,2017
163,507,19,-0.4,47,2.5,1269,Winter,No Holiday,Yes,12,7,2017
164,390,20,-1.4,47,2.5,1620,Winter,No Holiday,Yes,12,7,2017
165,402,21,-2.2,46,2.2,1975,Winter,No Holiday,Yes,12,7,2017
166,389,22,-2.7,48,2.6,1844,Winter,No Holiday,Yes,12,7,2017
167,259,23,-3.2,50,2.1,1887,Winter,No Holiday,Yes,12,7,2017
168,233,0,-3.5,49,2.6,1893,Winter,No Holiday,Yes,12,8,2017
169,230,1,-3.7,50,2.5,1902,Winter,No Holiday,Yes,12,8,2017
170,131,2,-4.3,53,1.0,1918,Winter,No Holiday,Yes,12,8,2017
171,99,3,-4.8,52,1.6,1978,Winter,No Holiday,Yes,12,8,2017
172,71,4,-5.3,53,2.4,1936,Winter,No Holiday,Yes,12,8,2017
173,84,5,-5.8,56,2.0,1941,Winter,No Holiday,Yes,12,8,2017
174,158,6,-6.0,56,3.5,1853,Winter,No Holiday,Yes,12,8,2017
175,387,7,-6.5,57,0.8,1776,Winter,No Holiday,Yes,12,8,2017
176,780,8,-7.0,59,0.8,1559,Winter,No Holiday,Yes,12,8,2017
177,395,9,-6.7,50,0.9,1492,Winter,No Holiday,Yes,12,8,2017
178,261,10,-5.3,44,2.8,1516,Winter,No Holiday,Yes,12,8,2017
179,310,11,-3.7,39,1.4,1595,Winter,No Holiday,Yes,12,8,2017
180,355,12,-2.0,30,1.4,1728,Winter,No Holiday,Yes,12,8,2017
181,354,13,-1.7,28,1.8,1963,Winter,No Holiday,Yes,12,8,2017
182,350,14,-1.3,27,3.1,1906,Winter,No Holiday,Yes,12,8,2017
183,362,15,-0.8,26,3.3,1977,Winter,No Holiday,Yes,12,8,2017
184,401,16,-1.1,24,3.4,2000,Winter,No Holiday,Yes,12,8,2017
185,500,17,-2.4,30,2.7,2000,Winter,No Holiday,Yes,12,8,2017
186,752,18,-3.1,33,1.2,2000,Winter,No Holiday,Yes,12,8,2017
187,477,19,-3.3,35,1.1,2000,Winter,No Holiday,Yes,12,8,2017
188,384,20,-3.3,34,1.5,2000,Winter,No Holiday,Yes,12,8,2017
189,336,21,-3.3,35,0.5,2000,Winter,No Holiday,Yes,12,8,2017
190,347,22,-3.4,39,1.2,2000,Winter,No Holiday,Yes,12,8,2017
191,275,23,-3.5,43,0.9,2000,Winter,No Holiday,Yes,12,8,2017
192,267,0,-3.5,48,0.9,1967,Winter,No Holiday,Yes,12,9,2017
193,296,1,-4.1,49,0.6,2000,Winter,No Holiday,Yes,12,9,2017
194,237,2,-4.7,50,0.7,1983,Winter,No Holiday,Yes,12,9,2017
195,169,3,-4.3,47,0.6,1992,Winter,No Holiday,Yes,12,9,2017
196,96,4,-4.3,49,0.7,2000,Winter,No Holiday,Yes,12,9,2017
197,56,5,-4.7,49,0.8,1999,Winter,No Holiday,Yes,12,9,2017
198,76,6,-5.1,53,0.9,1975,Winter,No Holiday,Yes,12,9,2017
199,127,7,-5.5,56,0.8,1950,Winter,No Holiday,Yes,12,9,2017
200,222,8,-5.4,56,0.7,1940,Winter,No Holiday,Yes,12,9,2017
201,291,9,-4.7,48,1.0,1784,Winter,No Holiday,Yes,12,9,2017
202,273,10,-2.2,42,1.3,1646,Winter,No Holiday,Yes,12,9,2017
203,351,11,0.0,45,1.1,1500,Winter,No Holiday,Yes,12,9,2017
204,427,12,2.4,40,0.8,1809,Winter,No Holiday,Yes,12,9,2017
205,431,13,3.9,36,2.0,1702,Winter,No Holiday,Yes,12,9,2017
206,486,14,4.7,32,2.2,1948,Winter,No Holiday,Yes,12,9,2017
207,569,15,5.2,30,2.0,1963,Winter,No Holiday,Yes,12,9,2017
208,546,16,4.4,33,1.6,1963,Winter,No Holiday,Yes,12,9,2017
209,481,17,3.5,37,1.8,1963,Winter,No Holiday,Yes,12,9,2017
210,384,18,2.5,41,1.0,1974,Winter,No Holiday,Yes,12,9,2017
211,275,19,1.5,48,0.4,1878,Winter,No Holiday,Yes,12,9,2017
212,298,20,0.8,51,1.4,1848,Winter,No Holiday,Yes,12,9,2017
213,321,21,-0.1,55,0.7,1654,Winter,No Holiday,Yes,12,9,2017
214,289,22,-0.5,55,0.6,1655,Winter,No Holiday,Yes,12,9,2017
215,265,23,-0.1,54,1.3,1570,Winter,No Holiday,Yes,12,9,2017
216,326,0,-0.2,55,1.0,1629,Winter,No Holiday,Yes,12,10,2017
217,280,1,-0.2,54,0.5,1747,Winter,No Holiday,Yes,12,10,2017
218,243,2,0.2,52,0.7,1726,Winter,No Holiday,Yes,12,10,2017
219,169,3,0.3,53,0.5,1748,Winter,No Holiday,Yes,12,10,2017
220,71,4,0.4,52,1.6,1816,Winter,No Holiday,Yes,12,10,2017
221,13,5,0.3,74,1.0,178,Winter,No Holiday,Yes,12,10,2017
222,9,6,-0.5,90,0.9,91,Winter,No Holiday,Yes,12,10,2017
223,20,7,-0.4,92,1.1,121,Winter,No Holiday,Yes,12,10,2017
224,35,8,-0.2,90,1.2,378,Winter,No Holiday,Yes,12,10,2017
225,31,9,0.2,90,1.0,305,Winter,No Holiday,Yes,12,10,2017
226,19,10,0.5,91,0.4,143,Winter,No Holiday,Yes,12,10,2017
227,58,11,0.9,92,0.9,137,Winter,No Holiday,Yes,12,10,2017
228,119,12,2.3,88,0.3,245,Winter,No Holiday,Yes,12,10,2017
229,182,13,3.3,87,1.1,230,Winter,No Holiday,Yes,12,10,2017
230,235,14,4.2,85,0.7,325,Winter,No Holiday,Yes,12,10,2017
231,180,15,6.7,63,4.5,715,Winter,No Holiday,Yes,12,10,2017
232,214,16,5.4,71,3.5,622,Winter,No Holiday,Yes,12,10,2017
233,226,17,3.6,65,4.3,1061,Winter,No Holiday,Yes,12,10,2017
234,210,18,2.0,61,3.0,2000,Winter,No Holiday,Yes,12,10,2017
235,181,19,1.6,53,4.0,2000,Winter,No Holiday,Yes,12,10,2017
236,165,20,0.6,57,3.9,1954,Winter,No Holiday,Yes,12,10,2017
237,167,21,0.0,59,3.0,1862,Winter,No Holiday,Yes,12,10,2017
238,152,22,-1.0,56,4.7,2000,Winter,No Holiday,Yes,12,10,2017
239,148,23,-1.4,43,4.3,2000,Winter,No Holiday,Yes,12,10,2017
240,125,0,-2.5,39,3.4,2000,Winter,No Holiday,Yes,12,11,2017
241,111,1,-3.4,36,3.8,2000,Winter,No Holiday,Yes,12,11,2017
242,67,2,-4.2,35,3.4,2000,Winter,No Holiday,Yes,12,11,2017
243,45,3,-4.7,38,2.4,2000,Winter,No Holiday,Yes,12,11,2017
244,44,4,-5.2,35,3.2,2000,Winter,No Holiday,Yes,12,11,2017
245,86,5,-5.6,38,3.2,1974,Winter,No Holiday,Yes,12,11,2017
246,136,6,-5.9,39,2.9,1979,Winter,No Holiday,Yes,12,11,2017
247,325,7,-6.0,39,3.1,1996,Winter,No Holiday,Yes,12,11,2017
248,653,8,-6.0,38,3.6,1994,Winter,No Holiday,Yes,12,11,2017
249,326,9,-5.9,36,5.1,1941,Winter,No Holiday,Yes,12,11,2017
250,212,10,-5.3,32,4.5,2000,Winter,No Holiday,Yes,12,11,2017
251,226,11,-4.7,36,3.8,2000,Winter,No Holiday,Yes,12,11,2017
252,247,12,-5.2,33,4.6,1973,Winter,No Holiday,Yes,12,11,2017
253,241,13,-5.4,32,5.1,1986,Winter,No Holiday,Yes,12,11,2017
254,253,14,-5.4,31,4.1,1945,Winter,No Holiday,Yes,12,11,2017
255,269,15,-5.5,33,4.5,2000,Winter,No Holiday,Yes,12,11,2017
256,277,16,-6.0,40,4.0,2000,Winter,No Holiday,Yes,12,11,2017
257,361,17,-7.1,44,4.2,2000,Winter,No Holiday,Yes,12,11,2017
258,557,18,-7.9,43,3.3,2000,Winter,No Holiday,Yes,12,11,2017
259,371,19,-8.6,45,3.9,2000,Winter,No Holiday,Yes,12,11,2017
260,254,20,-9.3,49,3.8,2000,Winter,No Holiday,Yes,12,11,2017
261,266,21,-9.7,51,2.5,2000,Winter,No Holiday,Yes,12,11,2017
262,222,22,-10.2,50,3.0,2000,Winter,No Holiday,Yes,12,11,2017
263,174,23,-10.7,53,1.2,2000,Winter,No Holiday,Yes,12,11,2017
264,133,0,-11.0,51,1.1,2000,Winter,No Holiday,Yes,12,12,2017
265,127,1,-11.2,51,1.1,2000,Winter,No Holiday,Yes,12,12,2017
266,95,2,-11.5,50,0.7,2000,Winter,No Holiday,Yes,12,12,2017
267,54,3,-11.6,50,2.2,1995,Winter,No Holiday,Yes,12,12,2017
268,46,4,-11.6,47,2.1,1982,Winter,No Holiday,Yes,12,12,2017
269,65,5,-11.6,45,2.8,1951,Winter,No Holiday,Yes,12,12,2017
270,104,6,-11.8,47,2.5,1973,Winter,No Holiday,Yes,12,12,2017
271,280,7,-12.1,50,2.3,1929,Winter,No Holiday,Yes,12,12,2017
272,580,8,-12.3,52,1.3,1914,Winter,No Holiday,Yes,12,12,2017
273,275,9,-11.8,46,2.9,1956,Winter,No Holiday,Yes,12,12,2017
274,184,10,-10.5,45,3.3,1855,Winter,No Holiday,Yes,12,12,2017
275,201,11,-9.4,42,3.1,1815,Winter,No Holiday,Yes,12,12,2017
276,228,12,-8.3,35,2.9,1967,Winter,No Holiday,Yes,12,12,2017
277,225,13,-6.9,37,2.4,1955,Winter,No Holiday,Yes,12,12,2017
278,258,14,-5.4,32,2.0,1930,Winter,No Holiday,Yes,12,12,2017
279,250,15,-5.8,30,2.8,2000,Winter,No Holiday,Yes,12,12,2017
280,248,16,-6.0,29,2.8,1983,Winter,No Holiday,Yes,12,12,2017
281,305,17,-7.0,32,2.6,2000,Winter,No Holiday,Yes,12,12,2017
282,529,18,-7.7,36,1.0,2000,Winter,No Holiday,Yes,12,12,2017
283,350,19,-8.2,43,1.1,2000,Winter,No Holiday,Yes,12,12,2017
284,260,20,-8.4,42,1.0,2000,Winter,No Holiday,Yes,12,12,2017
285,270,21,-8.8,43,1.4,1999,Winter,No Holiday,Yes,12,12,2017
286,256,22,-9.0,45,1.3,1999,Winter,No Holiday,Yes,12,12,2017
287,173,23,-9.3,47,2.1,2000,Winter,No Holiday,Yes,12,12,2017
288,168,0,-9.5,48,1.3,1996,Winter,No Holiday,Yes,13,12,2017
289,183,1,-10.2,52,1.6,1997,Winter,No Holiday,Yes,13,12,2017
290,120,2,-10.4,53,1.8,1949,Winter,No Holiday,Yes,13,12,2017
291,79,3,-10.9,55,1.8,1913,Winter,No Holiday,Yes,13,12,2017
292,41,4,-11.4,58,1.3,1907,Winter,No Holiday,Yes,13,12,2017
293,68,5,-11.5,58,1.1,1923,Winter,No Holiday,Yes,13,12,2017
294,109,6,-11.9,57,1.1,1974,Winter,No Holiday,Yes,13,12,2017
295,310,7,-11.7,53,1.6,1998,Winter,No Holiday,Yes,13,12,2017
296,591,8,-11.4,47,3.3,2000,Winter,No Holiday,Yes,13,12,2017
297,340,9,-11.1,46,3.4,1981,Winter,No Holiday,Yes,13,12,2017
298,202,10,-9.5,39,2.1,1875,Winter,No Holiday,Yes,13,12,2017
299,251,11,-8.1,35,1.8,1806,Winter,No Holiday,Yes,13,12,2017
300,267,12,-6.5,30,2.9,1945,Winter,No Holiday,Yes,13,12,2017
301,251,13,-5.8,28,2.9,1887,Winter,No Holiday,Yes,13,12,2017
302,240,14,-4.7,27,2.9,1883,Winter,No Holiday,Yes,13,12,2017
303,240,15,-4.9,26,3.1,1887,Winter,No Holiday,Yes,13,12,2017
304,278,16,-4.5,26,2.2,2000,Winter,No Holiday,Yes,13,12,2017
305,392,17,-5.6,29,1.7,2000,Winter,No Holiday,Yes,13,12,2017
306,537,18,-6.6,33,1.1,2000,Winter,No Holiday,Yes,13,12,2017
307,373,19,-6.6,31,1.6,2000,Winter,No Holiday,Yes,13,12,2017
308,263,20,-7.6,35,0.8,2000,Winter,No Holiday,Yes,13,12,2017
309,271,21,-8.3,39,1.0,2000,Winter,No Holiday,Yes,13,12,2017
310,271,22,-8.9,39,0.1,2000,Winter,No Holiday,Yes,13,12,2017
311,174,23,-9.2,44,0.4,1978,Winter,No Holiday,Yes,13,12,2017
312,171,0,-9.5,50,0.6,1953,Winter,No Holiday,Yes,14,12,2017
313,170,1,-9.8,48,0.8,2000,Winter,No Holiday,Yes,14,12,2017
314,107,2,-10.6,44,0.8,1903,Winter,No Holiday,Yes,14,12,2017
315,80,3,-10.7,48,0.4,1651,Winter,No Holiday,Yes,14,12,2017
316,52,4,-11.0,50,0.8,1718,Winter,No Holiday,Yes,14,12,2017
317,62,5,-10.8,48,0.8,1648,Winter,No Holiday,Yes,14,12,2017
318,108,6,-11.0,55,0.8,1541,Winter,No Holiday,Yes,14,12,2017
319,279,7,-10.9,57,1.1,1387,Winter,No Holiday,Yes,14,12,2017
320,621,8,-10.4,54,1.1,1432,Winter,No Holiday,Yes,14,12,2017
321,305,9,-9.4,44,0.5,1680,Winter,No Holiday,Yes,14,12,2017
322,189,10,-7.7,43,0.9,1555,Winter,No Holiday,Yes,14,12,2017
323,247,11,-6.1,38,1.0,1587,Winter,No Holiday,Yes,14,12,2017
324,278,12,-4.9,34,1.3,1768,Winter,No Holiday,Yes,14,12,2017
325,282,13,-3.8,32,0.9,1827,Winter,No Holiday,Yes,14,12,2017
326,294,14,-2.7,28,0.7,1857,Winter,No Holiday,Yes,14,12,2017
327,301,15,-2.5,29,1.1,1667,Winter,No Holiday,Yes,14,12,2017
328,335,16,-2.4,28,0.9,1878,Winter,No Holiday,Yes,14,12,2017
329,382,17,-2.9,31,0.6,1723,Winter,No Holiday,Yes,14,12,2017
330,612,18,-3.5,35,1.1,1414,Winter,No Holiday,Yes,14,12,2017
331,410,19,-4.2,40,0.9,1216,Winter,No Holiday,Yes,14,12,2017
332,277,20,-4.8,43,1.1,1397,Winter,No Holiday,Yes,14,12,2017
333,316,21,-4.8,45,0.8,1351,Winter,No Holiday,Yes,14,12,2017
334,309,22,-4.9,44,1.1,1369,Winter,No Holiday,Yes,14,12,2017
335,211,23,-5.6,53,1.2,1290,Winter,No Holiday,Yes,14,12,2017
336,227,0,-5.7,53,0.6,1262,Winter,No Holiday,Yes,15,12,2017
337,241,1,-6.3,57,0.4,1148,Winter,No Holiday,Yes,15,12,2017
338,162,2,-6.8,58,0.4,1089,Winter,No Holiday,Yes,15,12,2017
339,110,3,-6.9,56,0.5,1111,Winter,No Holiday,Yes,15,12,2017
340,69,4,-7.1,59,0.8,1058,Winter,No Holiday,Yes,15,12,2017
341,68,5,-7.5,64,0.9,989,Winter,No Holiday,Yes,15,12,2017
