,Date,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day,Day,Month,Year
88,2017-04-12,375,16,-0.2,23,4.7,2000,Winter,No Holiday,Yes,12,4,2017
89,2017-04-12,515,17,-1.3,26,5.3,2000,Winter,No Holiday,Yes,12,4,2017
90,2017-04-12,807,18,-2.1,29,3.9,2000,Winter,No Holiday,Yes,12,4,2017
91,2017-04-12,568,19,-2.9,32,3.2,2000,Winter,No Holiday,Yes,12,4,2017
92,2017-04-12,398,20,-3.6,38,3.0,2000,Winter,No Holiday,Yes,12,4,2017
93,2017-04-12,397,21,-4.6,43,4.5,2000,Winter,No Holiday,Yes,12,4,2017
94,2017-04-12,353,22,-5.3,45,2.5,2000,Winter,No Holiday,Yes,12,4,2017
95,2017-04-12,248,23,-5.8,44,2.4,2000,Winter,No Holiday,Yes,12,4,2017
96,2017-05-12,216,0,-6.1,42,2.6,2000,Winter,No Holiday,Yes,12,5,2017
97,2017-05-12,198,1,-6.5,41,2.8,2000,Winter,No Holiday,Yes,12,5,2017
98,2017-05-12,124,2,-6.8,41,2.5,2000,Winter,No Holiday,Yes,12,5,2017
99,2017-05-12,62,3,-6.9,39,2.0,2000,Winter,No Holiday,Yes,12,5,2017
100,2017-05-12,42,4,-7.2,34,3.0,2000,Winter,No Holiday,Yes,12,5,2017
101,2017-05-12,82,5,-7.4,33,2.6,2000,Winter,No Holiday,Yes,12,5,2017
102,2017-05-12,172,6,-7.4,34,3.2,2000,Winter,No Holiday,Yes,12,5,2017
103,2017-05-12,381,7,-7.5,33,2.2,2000,Winter,No Holiday,Yes,12,5,2017
104,2017-05-12,812,8,-8.1,36,1.6,2000,Winter,No Holiday,Yes,12,5,2017
105,2017-05-12,462,9,-7.6,31,1.3,1974,Winter,No Holiday,Yes,12,5,2017
106,2017-05-12,269,10,-5.5,26,2.8,1967,Winter,No Holiday,Yes,12,5,2017
107,2017-05-12,334,11,-3.9,25,0.0,1959,Winter,No Holiday,Yes,12,5,2017
108,2017-05-12,321,12,-2.3,25,0.0,1962,Winter,No Holiday,Yes,12,5,2017
109,2017-05-12,325,13,-1.6,27,0.0,1955,Winter,No Holiday,Yes,12,5,2017
110,2017-05-12,334,14,-1.1,28,0.0,2000,Winter,No Holiday,Yes,12,5,2017
111,2017-05-12,353,15,-0.7,28,0.0,2000,Winter,No Holiday,Yes,12,5,2017
112,2017-05-12,435,16,-0.5,30,0.0,2000,Winter,No Holiday,Yes,12,5,2017
113,2017-05-12,529,17,-1.6,35,0.0,2000,Winter,No Holiday,Yes,12,5,2017
114,2017-05-12,789,18,-2.6,40,0.0,2000,Winter,No Holiday,Yes,12,5,2017
115,2017-05-12,597,19,-3.2,45,0.0,2000,Winter,No Holiday,Yes,12,5,2017
116,2017-05-12,418,20,-3.5,46,0.0,2000,Winter,No Holiday,Yes,12,5,2017
117,2017-05-12,415,21,-3.7,47,0.0,2000,Winter,No Holiday,Yes,12,5,2017
118,2017-05-12,393,22,-2.8,49,0.0,2000,Winter,No Holiday,Yes,12,5,2017
119,2017-05-12,244,23,-2.5,59,0.0,1210,Winter,No Holiday,Yes,12,5,2017
120,2017-06-12,145,0,-2.8,77,0.0,331,Winter,No Holiday,Yes,12,6,2017
121,2017-06-12,144,1,-3.0,79,0.0,293,Winter,No Holiday,Yes,12,6,2017
122,2017-06-12,117,2,-3.0,79,0.0,1862,Winter,No Holiday,Yes,12,6,2017
123,2017-06-12,78,3,-3.2,78,0.0,1808,Winter,No Holiday,Yes,12,6,2017
124,2017-06-12,58,4,-3.4,75,0.0,1982,Winter,No Holiday,Yes,12,6,2017
125,2017-06-12,87,5,-3.6,76,0.0,1934,Winter,No Holiday,Yes,12,6,2017
126,2017-06-12,142,6,-3.7,76,0.0,1864,Winter,No Holiday,Yes,12,6,2017
127,2017-06-12,379,7,-4.2,77,0.0,1741,Winter,No Holiday,Yes,12,6,2017
128,2017-06-12,802,8,-4.2,78,0.0,1518,Winter,No Holiday,Yes,12,6,2017
129,2017-06-12,440,9,-3.3,70,0.0,1324,Winter,No Holiday,Yes,12,6,2017
130,2017-06-12,307,10,-0.9,64,0.0,1224,Winter,No Holiday,Yes,12,6,2017
131,2017-06-12,381,11,1.6,57,1.2,1261,Winter,No Holiday,Yes,12,6,2017
132,2017-06-12,405,12,2.4,52,0.9,1224,Winter,No Holiday,Yes,12,6,2017
133,2017-06-12,442,13,4.2,47,1.1,1469,Winter,No Holiday,Yes,12,6,2017
134,2017-06-12,416,14,5.5,34,1.0,1966,Winter,No Holiday,Yes,12,6,2017
135,2017-06-12,412,15,5.5,31,3.1,1968,Winter,No Holiday,Yes,12,6,2017
136,2017-06-12,496,16,5.3,37,2.9,2000,Winter,No Holiday,Yes,12,6,2017
137,2017-06-12,239,17,4.1,60,2.5,1565,Winter,No Holiday,Yes,12,6,2017
138,2017-06-12,204,18,1.7,90,1.0,66,Winter,No Holiday,Yes,12,6,2017
139,2017-06-12,205,19,1.2,92,0.7,180,Winter,No Holiday,Yes,12,6,2017
140,2017-06-12,190,20,1.2,94,0.6,228,Winter,No Holiday,Yes,12,6,2017
141,2017-06-12,165,21,1.1,92,0.5,235,Winter,No Holiday,Yes,12,6,2017
142,2017-06-12,222,22,1.3,92,0.6,233,Winter,No Holiday,Yes,12,6,2017
143,2017-06-12,193,23,1.3,92,0.6,209,Winter,No Holiday,Yes,12,6,2017
144,2017-07-12,198,0,1.4,92,0.5,240,Winter,No Holiday,Yes,12,7,2017
145,2017-07-12,218,1,1.5,92,0.4,227,Winter,No Holiday,Yes,12,7,2017
146,2017-07-12,149,2,1.4,92,0.7,168,Winter,No Holiday,Yes,12,7,2017
147,2017-07-12,102,3,1.9,91,1.4,218,Winter,No Holiday,Yes,12,7,2017
148,2017-07-12,62,4,1.6,92,0.7,119,Winter,No Holiday,Yes,12,7,2017
149,2017-07-12,83,5,1.5,92,1.1,175,Winter,No Holiday,Yes,12,7,2017
150,2017-07-12,137,6,1.0,93,0.5,148,Winter,No Holiday,Yes,12,7,2017
151,2017-07-12,367,7,0.3,93,0.5,173,Winter,No Holiday,Yes,12,7,2017
152,2017-07-12,754,8,-0.2,96,0.8,173,Winter,No Holiday,Yes,12,7,2017
153,2017-07-12,415,9,0.1,91,0.8,265,Winter,No Holiday,Yes,12,7,2017
154,2017-07-12,321,10,1.1,83,0.7,311,Winter,No Holiday,Yes,12,7,2017
155,2017-07-12,333,11,2.3,69,1.7,628,Winter,No Holiday,Yes,12,7,2017
156,2017-07-12,431,12,3.7,65,2.4,833,Winter,No Holiday,Yes,12,7,2017
157,2017-07-12,394,13,4.1,37,3.1,1767,Winter,No Holiday,Yes,12,7,2017
158,2017-07-12,390,14,4.4,36,2.7,1975,Winter,No Holiday,Yes,12,7,2017
159,2017-07-12,430,15,4.0,35,3.1,1962,Winter,No Holiday,Yes,12,7,2017
160,2017-07-12,471,16,3.2,38,2.9,1817,Winter,No Holiday,Yes,12,7,2017
161,2017-07-12,552,17,2.1,50,2.0,1434,Winter,No Holiday,Yes,12,7,2017
162,2017-07-12,795,18,0.7,46,2.7,1558,Winter,No Holiday,Yes,12,7,2017
163,2017-07-12,507,19,-0.4,47,2.5,1269,Winter,No Holiday,Yes,12,7,2017
164,2017-07-12,390,20,-1.4,47,2.5,1620,Winter,No Holiday,Yes,12,7,2017
165,2017-07-12,402,21,-2.2,46,2.2,1975,Winter,No Holiday,Yes,12,7,2017
166,2017-07-12,389,22,-2.7,48,2.6,1844,Winter,No Holiday,Yes,12,7,2017
167,2017-07-12,259,23,-3.2,50,2.1,1887,Winter,No Holiday,Yes,12,7,2017
168,2017-08-12,233,0,-3.5,49,2.6,1893,Winter,No Holiday,Yes,12,8,2017
169,2017-08-12,230,1,-3.7,50,2.5,1902,Winter,No Holiday,Yes,12,8,2017
170,2017-08-12,131,2,-4.3,53,1.0,1918,Winter,No Holiday,Yes,12,8,2017
171,2017-08-12,99,3,-4.8,52,1.6,1978,Winter,No Holiday,Yes,12,8,2017
172,2017-08-12,71,4,-5.3,53,2.4,1936,Winter,No Holiday,Yes,12,8,2017
173,2017-08-12,84,5,-5.8,56,2.0,1941,Winter,No Holiday,Yes,12,8,2017
174,2017-08-12,158,6,-6.0,56,3.5,1853,Winter,No Holiday,Yes,12,8,2017
175,2017-08-12,387,7,-6.5,57,0.8,1776,Winter,No Holiday,Yes,12,8,2017
176,2017-08-12,780,8,-7.0,59,0.8,1559,Winter,No Holiday,Yes,12,8,2017
177,2017-08-12,395,9,-6.7,50,0.9,1492,Winter,No Holiday,Yes,12,8,2017
178,2017-08-12,261,10,-5.3,44,2.8,1516,Winter,No Holiday,Yes,12,8,2017
179,2017-08-12,310,11,-3.7,39,1.4,1595,Winter,No Holiday,Yes,12,8,2017
180,2017-08-12,355,12,-2.0,30,1.4,1728,Winter,No Holiday,Yes,12,8,2017
181,2017-08-12,354,13,-1.7,28,1.8,1963,Winter,No Holiday,Yes,12,8,2017
182,2017-08-12,350,14,-1.3,27,3.1,1906,Winter,No Holiday,Yes,12,8,2017
183,2017-08-12,362,15,-0.8,26,3.3,1977,Winter,No Holiday,Yes,12,8,2017
184,2017-08-12,401,16,-1.1,24,3.4,2000,Winter,No Holiday,Yes,12,8,2017
185,2017-08-12,500,17,-2.4,30,2.7,2000,Winter,No Holiday,Yes,12,8,2017
186,2017-08-12,752,18,-3.1,33,1.2,2000,Winter,No Holiday,Yes,12,8,2017
187,2017-08-12,477,19,-3.3,35,1.1,2000,Winter,No Holiday,Yes,12,8,2017
188,2017-08-12,384,20,-3.3,34,1.5,2000,Winter,No Holiday,Yes,12,8,2017
189,2017-08-12,336,21,-3.3,35,0.5,2000,Winter,No Holiday,Yes,12,8,2017
190,2017-08-12,347,22,-3.4,39,1.2,2000,Winter,No Holiday,Yes,12,8,2017
191,2017-08-12,275,23,-3.5,43,0.9,2000,Winter,No Holiday,Yes,12,8,2017
192,2017-09-12,267,0,-3.5,48,0.9,1967,Winter,No Holiday,Yes,12,9,2017
193,2017-09-12,296,1,-4.1,49,0.6,2000,Winter,No Holiday,Yes,12,9,2017
194,2017-09-12,237,2,-4.7,50,0.7,1983,Winter,No Holiday,Yes,12,9,2017
195,2017-09-12,169,3,-4.3,47,0.6,1992,Winter,No Holiday,Yes,12,9,2017
196,2017-09-12,96,4,-4.3,49,0.7,2000,Winter,No Holiday,Yes,12,9,2017
197,2017-09-12,56,5,-4.7,49,0.8,1999,Winter,No Holiday,Yes,12,9,2017
198,2017-09-12,76,6,-5.1,53,0.9,1975,Winter,No Holiday,Yes,12,9,2017
199,2017-09-12,127,7,-5.5,56,0.8,1950,Winter,No Holiday,Yes,12,9,2017
200,2017-09-12,222,8,-5.4,56,0.7,1940,Winter,No Holiday,Yes,12,9,2017
201,2017-09-12,291,9,-4.7,48,1.0,1784,Winter,No Holiday,Yes,12,9,2017
202,2017-09-12,273,10,-2.2,42,1.3,1646,Winter,No Holiday,Yes,12,9,2017
203,2017-09-12,351,11,0.0,45,1.1,1500,Winter,No Holiday,Yes,12,9,2017
204,2017-09-12,427,12,2.4,40,0.8,1809,Winter,No Holiday,Yes,12,9,2017
205,2017-09-12,431,13,3.9,36,2.0,1702,Winter,No Holiday,Yes,12,9,2017
206,2017-09-12,486,14,4.7,32,2.2,1948,Winter,No Holiday,Yes,12,9,2017
207,2017-09-12,569,15,5.2,30,2.0,1963,Winter,No Holiday,Yes,12,9,2017
208,2017-09-12,546,16,4.4,33,1.6,1963,Winter,No Holiday,Yes,12,9,2017
209,2017-09-12,481,17,3.5,37,1.8,1963,Winter,No Holiday,Yes,12,9,2017
210,2017-09-12,384,18,2.5,41,1.0,1974,Winter,No Holiday,Yes,12,9,2017
211,2017-09-12,275,19,1.5,48,0.4,1878,Winter,No Holiday,Yes,12,9,2017
212,2017-09-12,298,20,0.8,51,1.4,1848,Winter,No Holiday,Yes,12,9,2017
213,2017-09-12,321,21,-0.1,55,0.7,1654,Winter,No Holiday,Yes,12,9,2017
214,2017-09-12,289,22,-0.5,55,0.6,1655,Winter,No Holiday,Yes,12,9,2017
215,2017-09-12,265,23,-0.1,54,1.3,1570,Winter,No Holiday,Yes,12,9,2017
216,2017-10-12,326,0,-0.2,55,1.0,1629,Winter,No Holiday,Yes,12,10,2017
217,2017-10-12,280,1,-0.2,54,0.5,1747,Winter,No Holiday,Yes,12,10,2017
218,2017-10-12,243,2,0.2,52,0.7,1726,Winter,No Holiday,Yes,12,10,2017
219,2017-10-12,169,3,0.3,53,0.5,1748,Winter,No Holiday,Yes,12,10,2017
220,2017-10-12,71,4,0.4,52,1.6,1816,Winter,No Holiday,Yes,12,10,2017
221,2017-10-12,13,5,0.3,74,1.0,178,Winter,No Holiday,Yes,12,10,2017
222,2017-10-12,9,6,-0.5,90,0.9,91,Winter,No Holiday,Yes,12,10,2017
223,2017-10-12,20,7,-0.4,92,1.1,121,Winter,No Holiday,Yes,12,10,2017
224,2017-10-12,35,8,-0.2,90,1.2,378,Winter,No Holiday,Yes,12,10,2017
225,2017-10-12,31,9,0.2,90,1.0,305,Winter,No Holiday,Yes,12,10,2017
226,2017-10-12,19,10,0.5,91,0.4,143,Winter,No Holiday,Yes,12,10,2017
227,2017-10-12,58,11,0.9,92,0.9,137,Winter,No Holiday,Yes,12,10,2017
228,2017-10-12,119,12,2.3,88,0.3,245,Winter,No Holiday,Yes,12,10,2017
229,2017-10-12,182,13,3.3,87,1.1,230,Winter,No Holiday,Yes,12,10,2017
230,2017-10-12,235,14,4.2,85,0.7,325,Winter,No Holiday,Yes,12,10,2017
231,2017-10-12,180,15,6.7,63,4.5,715,Winter,No Holiday,Yes,12,10,2017
232,2017-10-12,214,16,5.4,71,3.5,622,Winter,No Holiday,Yes,12,10,2017
233,2017-10-12,226,17,3.6,65,4.3,1061,Winter,No Holiday,Yes,12,10,2017
234,2017-10-12,210,18,2.0,61,3.0,2000,Winter,No Holiday,Yes,12,10,2017
235,2017-10-12,181,19,1.6,53,4.0,2000,Winter,No Holiday,Yes,12,10,2017
236,2017-10-12,165,20,0.6,57,3.9,1954,Winter,No Holiday,Yes,12,10,2017
237,2017-10-12,167,21,0.0,59,3.0,1862,Winter,No Holiday,Yes,12,10,2017
238,2017-10-12,152,22,-1.0,56,4.7,2000,Winter,No Holiday,Yes,12,10,2017
239,2017-10-12,148,23,-1.4,43,4.3,2000,Winter,No Holiday,Yes,12,10,2017
240,2017-11-12,125,0,-2.5,39,3.4,2000,Winter,No Holiday,Yes,12,11,2017
241,2017-11-12,111,1,-3.4,36,3.8,2000,Winter,No Holiday,Yes,12,11,2017
242,2017-11-12,67,2,-4.2,35,3.4,2000,Winter,No Holiday,Yes,12,11,2017
243,2017-11-12,45,3,-4.7,38,2.4,2000,Winter,No Holiday,Yes,12,11,2017
244,2017-11-12,44,4,-5.2,35,3.2,2000,Winter,No Holiday,Yes,12,11,2017
245,2017-11-12,86,5,-5.6,38,3.2,1974,Winter,No Holiday,Yes,12,11,2017
246,2017-11-12,136,6,-5.9,39,2.9,1979,Winter,No Holiday,Yes,12,11,2017
247,2017-11-12,325,7,-6.0,39,3.1,1996,Winter,No Holiday,Yes,12,11,2017
248,2017-11-12,653,8,-6.0,38,3.6,1994,Winter,No Holiday,Yes,12,11,2017
249,2017-11-12,326,9,-5.9,36,5.1,1941,Winter,No Holiday,Yes,12,11,2017
250,2017-11-12,212,10,-5.3,32,4.5,2000,Winter,No Holiday,Yes,12,11,2017
251,2017-11-12,226,11,-4.7,36,3.8,2000,Winter,No Holiday,Yes,12,11,2017
252,2017-11-12,247,12,-5.2,33,4.6,1973,Winter,No Holiday,Yes,12,11,2017
253,2017-11-12,241,13,-5.4,32,5.1,1986,Winter,No Holiday,Yes,12,11,2017
254,2017-11-12,253,14,-5.4,31,4.1,1945,Winter,No Holiday,Yes,12,11,2017
255,2017-11-12,269,15,-5.5,33,4.5,2000,Winter,No Holiday,Yes,12,11,2017
256,2017-11-12,277,16,-6.0,40,4.0,2000,Winter,No Holiday,Yes,12,11,2017
257,2017-11-12,361,17,-7.1,44,4.2,2000,Winter,No Holiday,Yes,12,11,2017
258,2017-11-12,557,18,-7.9,43,3.3,2000,Winter,No Holiday,Yes,12,11,2017
259,2017-11-12,371,19,-8.6,45,3.9,2000,Winter,No Holiday,Yes,12,11,2017
260,2017-11-12,254,20,-9.3,49,3.8,2000,Winter,No Holiday,Yes,12,11,2017
261,2017-11-12,266,21,-9.7,51,2.5,2000,Winter,No Holiday,Yes,12,11,2017
262,2017-11-12,222,22,-10.2,50,3.0,2000,Winter,No Holiday,Yes,12,11,2017
263,2017-11-12,174,23,-10.7,53,1.2,2000,Winter,No Holiday,Yes,12,11,2017
264,2017-12-12,133,0,-11.0,51,1.1,2000,Winter,No Holiday,Yes,12,12,2017
265,2017-12-12,127,1,-11.2,51,1.1,2000,Winter,No Holiday,Yes,12,12,2017
266,2017-12-12,95,2,-11.5,50,0.7,2000,Winter,No Holiday,Yes,12,12,2017
267,2017-12-12,54,3,-11.6,50,2.2,1995,Winter,No Holiday,Yes,12,12,2017
268,2017-12-12,46,4,-11.6,47,2.1,1982,Winter,No Holiday,Yes,12,12,2017
269,2017-12-12,65,5,-11.6,45,2.8,1951,Winter,No Holiday,Yes,12,12,2017
270,2017-12-12,104,6,-11.8,47,2.5,1973,Winter,No Holiday,Yes,12,12,2017
271,2017-12-12,280,7,-12.1,50,2.3,1929,Winter,No Holiday,Yes,12,12,2017
272,2017-12-12,580,8,-12.3,52,1.3,1914,Winter,No Holiday,Yes,12,12,2017
273,2017-12-12,275,9,-11.8,46,2.9,1956,Winter,No Holiday,Yes,12,12,2017
274,2017-12-12,184,10,-10.5,45,3.3,1855,Winter,No Holiday,Yes,12,12,2017
275,2017-12-12,201,11,-9.4,42,3.1,1815,Winter,No Holiday,Yes,12,12,2017
276,2017-12-12,228,12,-8.3,35,2.9,1967,Winter,No Holiday,Yes,12,12,2017
277,2017-12-12,225,13,-6.9,37,2.4,1955,Winter,No Holiday,Yes,12,12,2017
278,2017-12-12,258,14,-5.4,32,2.0,1930,Winter,No Holiday,Yes,12,12,2017
279,2017-12-12,250,15,-5.8,30,2.8,2000,Winter,No Holiday,Yes,12,12,2017
280,2017-12-12,248,16,-6.0,29,2.8,1983,Winter,No Holiday,Yes,12,12,2017
281,2017-12-12,305,17,-7.0,32,2.6,2000,Winter,No Holiday,Yes,12,12,2017
282,2017-12-12,529,18,-7.7,36,1.0,2000,Winter,No Holiday,Yes,12,12,2017
283,2017-12-12,350,19,-8.2,43,1.1,2000,Winter,No Holiday,Yes,12,12,2017
284,2017-12-12,260,20,-8.4,42,1.0,2000,Winter,No Holiday,Yes,12,12,2017
285,2017-12-12,270,21,-8.8,43,1.4,1999,Winter,No Holiday,Yes,12,12,2017
286,2017-12-12,256,22,-9.0,45,1.3,1999,Winter,No Holiday,Yes,12,12,2017
287,2017-12-12,173,23,-9.3,47,2.1,2000,Winter,No Holiday,Yes,12,12,2017
288,2017-12-13,168,0,-9.5,48,1.3,1996,Winter,No Holiday,Yes,13,12,2017
289,2017-12-13,183,1,-10.2,52,1.6,1997,Winter,No Holiday,Yes,13,12,2017
290,2017-12-13,120,2,-10.4,53,1.8,1949,Winter,No Holiday,Yes,13,12,2017
291,2017-12-13,79,3,-10.9,55,1.8,1913,Winter,No Holiday,Yes,13,12,2017
